event_id,event_name,event_type,description,date,duration_hours,location,organizer,skills,related_clubs,related_courses,registration_required
EVT_11,Startup Co-Founder Speed Dating,Networking Event,Match with technical co-founders or business leads for upcoming hackathons.,2026-09-15,2,Student Union Lounge,Student Startup Incubator,Entrepreneurship|Leadership|Networking,CLUB_05,BUS101,No
EVT_12,Web3 Microservices Architecture Seminar,Tech Talk,"Understanding gRPC, Event Sourcing, and decentralized APIs.",2026-09-22,2,CS Seminar Room B,Web3 Developers,Backend Architecture|TypeScript,CLUB_06,CS310,No
EVT_13,Campus Capture-The-Flag (CTF) Tournament,Competition,24-hour security competition finding flags in web apps and binary targets.,2026-10-12,24,CS Cyber Lab,Cybersecurity Guild,Cybersecurity Basics|Python|Problem Solving,CLUB_07,CS400,Yes
EVT_14,Web Application Security Audit Workshop,Workshop,"Hands-on testing of SQL injection, XSS, and CSRF vulnerabilities.",2026-09-29,3,CS Cyber Lab,Cybersecurity Guild,Cybersecurity Basics|FastAPI,CLUB_07,CS400,Yes
EVT_15,Figma Design System Masterclass,Workshop,Create reusable tokenized component libraries for Next.js web applications.,2026-09-18,2,Design Studio 204,UI/UX Collective,UI/UX Design|Human-Computer Interaction,CLUB_08,DES101,No
EVT_16,How to Secure an Undergraduate Research Position,Seminar,Faculty panel discussion on emailing professors and applying for REUs.,2026-09-12,2,Science Library Auditorium,Undergraduate Research Assoc,Research Methods|Networking|Technical Writing,CLUB_09,ENG101,No
EVT_17,LaTeX Academic Paper Formatting Workshop,Workshop,Learn to write crisp IEEE/ACM double-column papers and manage BibTeX.,2026-10-08,2,Science Library Computer Room,Undergraduate Research Assoc,Technical Writing|Research Methods,CLUB_09,ENG101,No
EVT_18,Women in Tech Annual Mentorship Kickoff,Networking Event,Pairing undergraduate students with industry engineering mentors from Big Tech.,2026-09-21,2,Faculty Club Ballroom,Women in CS & Engineering,Networking|Leadership|Public Speaking,CLUB_10,None,Yes
EVT_19,Grace Hopper Conference Prep & Resume Review,Workshop,Resume feedback and elevator pitch refinement for national career fairs.,2026-09-30,2,Student Center Room 301,Women in CS & Engineering,Public Speaking|Networking|Technical Writing,CLUB_10,None,No
EVT_20,High-Frequency Trading Algorithm Challenge,Competition,Simulated stock exchange challenge optimizing trade latency in Python.,2026-10-25,5,Finance Lab,Quant Trading Assoc,Quantitative Finance|Python|Probability & Statistics,CLUB_11,FIN201,Yes
EVT_21,Git Rebasing & Open Source PR Sprint,Workshop,Learn upstream git workflows and submit your first Pull Request to OSS.,2026-09-23,3,CS Student Lounge,Open Source Developers,Git & GitHub|Python|TypeScript,CLUB_12,CS101,No
EVT_22,Deploying Next.js & FastAPI to Cloud Docker,Workshop,Containerize full-stack apps and deploy to AWS ECS / Fly.io.,2026-10-14,3,CS Lab 1,DevOps Chapter,Docker & Containers|DevOps & CI/CD|FastAPI,CLUB_13,CS320,Yes
EVT_23,Genomic Sequence Alignment Hackathon,Hackathon,Build fast string alignment algorithms for modern DNA sequencing data.,2026-10-28,12,Biotech Building 3rd Floor,Bioinformatics Society,Bioinformatics|Python|Algorithm Design,CLUB_14,BIO210,Yes
EVT_24,48-Hour Indie Game Jam,Competition,Design and build a playable video game theme revealed at kickoff.,2026-11-05,48,Makerspace Media Lab,Game Dev Guild,UI/UX Design|Algorithm Design,CLUB_15,None,Yes
EVT_25,AI Alignment & Autonomous Weapons Debate,Seminar,Structured debate between ethics professors and AI lab researchers.,2026-10-16,2,Humanities Hall 101,Ethics in Tech Forum,Ethics in AI|Public Speaking,CLUB_16,ETH301,No
EVT_26,Intro to Qiskit & Quantum Gates Workshop,Workshop,Program your first quantum circuit on IBM Quantum hardware.,2026-10-03,3,Physics Lab 4,Quantum Computing Group,Quantum Computing Basics|Linear Algebra,CLUB_17,PHYS201,Yes
EVT_27,Campus Non-Profit Website Buildathon,Hackathon,Spend 12 hours building live Next.js websites for local community non-profits.,2026-10-20,12,Student Union Multi-Purpose Room,Web Dev Alliance,Next.js & React|TypeScript|FastAPI,CLUB_18,CS310,Yes
EVT_28,Impromptu Speech Championship,Competition,Test your spontaneous presentation skills in 2-minute randomized topics.,2026-10-07,2,Student Union Theater,Toastmasters Speaking Club,Public Speaking|Leadership,CLUB_19,ENG201,No
EVT_29,Campus Energy Data Visualization Sprint,Competition,Analyze real-time IoT energy sensors and build interactive dashboards.,2026-10-24,6,Environmental Science Center,CleanTech Initiative,Data Analysis|Data Visualization|Python,CLUB_20,DS101,No
EVT_30,Product Case Study Breakdown: Databricks Genie,Workshop,Deconstruct Databricks Genie product architecture and competitive strategy.,2026-10-11,2,Business School Room 102,Product Network,Product Management|Databricks Unity Catalog,CLUB_21,BUS202,No
EVT_31,Big Tech Fall Career Fair 2026,Career Fair,"Meet recruiters from Databricks, Google, Meta, Microsoft, and top startups.",2026-09-24,6,Campus Recreation Center Gymnasium,Engineering Career Services,Networking|Public Speaking,None,None,Yes
EVT_32,Undergraduate Research Opportunities Fair,Career Fair,"Discover active faculty research openings across AI, Robotics, and Biotech.",2026-09-17,4,Science Quad Plaza,Undergraduate Research Office,Research Methods|Networking,CLUB_09,None,No
EVT_33,FastAPI & Async Python Architecture Tech Talk,Tech Talk,"Deep dive into ASGI, asyncio event loops, and high-concurrency Python.",2026-10-19,2,CS Auditorium,Web Dev Alliance,FastAPI|Python|Backend Architecture,CLUB_18,CS310,No
EVT_34,Reinforcement Learning from Human Feedback (RLHF) Lecture,Tech Talk,How modern LLMs are aligned using PPO and Reward Models.,2026-10-27,2,AI Research Institute,AI Student Society,Reinforcement Learning|Generative AI|Deep Learning,CLUB_01,AI401,No
EVT_35,Container Orchestration with Kubernetes Workshop,Workshop,Hands-on tutorial creating Kubernetes clusters and deploying microservices.,2026-11-02,3,Cloud Lab 202,DevOps Chapter,Docker & Containers|DevOps & CI/CD,CLUB_13,CS320,Yes
EVT_36,Computer Vision for Autonomous Driving Lecture,Tech Talk,Guest lecture by Tesla Autopilot engineers on camera perception.,2026-10-29,2,Engineering Auditorium,Robotics Lab Club,Computer Vision|Deep Learning,CLUB_04,AI302,No
EVT_37,Data Science Resume & Portfolio Clinic,Workshop,"Get your GitHub, Databricks projects, and Kaggle profiles reviewed.",2026-09-26,2,CS Lounge,Data Science League,Data Visualization|Technical Writing|Networking,CLUB_03,DS101,No
EVT_38,Startup Seed Funding & Pitch Deck Masterclass,Workshop,Learn what VCs look for in early-stage seed pitch decks.,2026-10-17,2,Incubator Hub,Student Startup Incubator,Venture Pitching|Entrepreneurship,CLUB_05,BUS201,No
EVT_39,Mobile App UI Micro-Animations with Framer Motion,Workshop,Add fluid spring physics animations and visual polish to React apps.,2026-10-06,2,Design Studio 101,UI/UX Collective,Next.js & React|UI/UX Design,CLUB_08,CS310,No
EVT_40,Natural Language RAG & Vector DB Workshop,Workshop,Build a retrieval-augmented generation app using Pinecone and LlamaIndex.,2026-10-21,3,CS Lab 4,AI Student Society,Generative AI|Natural Language Processing|Python,CLUB_01,AI303,Yes
EVT_41,Cybersecurity Penetration Testing Live CTF,Competition,Live red team vs blue team defense simulation.,2026-11-08,6,Cybersecurity Hub,Cybersecurity Guild,Cybersecurity Basics|Problem Solving,CLUB_07,CYB201,Yes
EVT_42,Quantitative Risk & Monte Carlo Simulation Tutorial,Workshop,Implement Monte Carlo portfolio simulation models in Python.,2026-10-13,2,Finance Lab,Quant Trading Assoc,Quantitative Finance|Probability & Statistics,CLUB_11,FIN201,No
EVT_43,Databricks Unity Catalog Lineage & Security Seminar,Tech Talk,"Enterprise data governance, column-level security, and audit logging.",2026-10-23,2,Databricks Innovation Lab,Data Science League,Databricks Unity Catalog|SQL & Relational DBs,CLUB_03,DE101,No
EVT_44,Bioinformatics Protein Folding (AlphaFold) Talk,Tech Talk,Understanding structural biology advancements powered by deep learning.,2026-10-30,2,Biotech Auditorium,Bioinformatics Society,Bioinformatics|Deep Learning,CLUB_14,BIO210,No
EVT_45,Open Source Hacktoberfest Kickoff,Hackathon,Celebrate open source by completing 4 accepted pull requests in October.,2026-10-01,4,Student Union Ballroom,Open Source Developers,Git & GitHub|Python|TypeScript,CLUB_12,CS101,No
EVT_46,Clean Energy IoT Hardware Hack,Hackathon,Build micro-controller environmental monitors for smart buildings.,2026-11-04,12,Environmental Science Lab,CleanTech Initiative,Robotics & Embedded Systems|Data Analysis,CLUB_20,ROB202,Yes
EVT_47,Student Entrepreneur Fireside Chat with YC Founder,Seminar,Q&A session with a Y Combinator alumni founder on scaling product-market fit.,2026-10-14,2,Business Center 201,Student Startup Incubator,Entrepreneurship|Product Management,CLUB_05,BUS101,No
EVT_48,AI Ethics & Algorithmic Governance Workshop,Workshop,Analyze case studies of hiring algorithm bias and facial recognition regulation.,2026-10-26,2,Humanities Room 202,Ethics in Tech Forum,Ethics in AI|Technical Writing,CLUB_16,ETH301,No
EVT_49,Next.js 15 App Router & Server Components Tutorial,Tech Talk,"Deep dive into React Server Components, Server Actions, and streaming SSR.",2026-09-27,2,CS Auditorium,Web Dev Alliance,Next.js & React|TypeScript,CLUB_18,CS310,No
EVT_50,Undergraduate Research Poster Showcase,Conference,Present your semester research project findings to university faculty judges.,2026-11-15,4,Campus Center Atrium,Undergraduate Research Assoc,Research Methods|Public Speaking|Technical Writing,CLUB_09,ENG101,Yes
