relationship_id,source_type,source_id,relationship_type,target_type,target_id,weight
REL_0150,EVENT,EVT_10,DEVELOPS,SKILL,SKILL_47,0.7
REL_0151,EVENT,EVT_10,DEVELOPS,SKILL,SKILL_26,0.7
REL_0152,EVENT,EVT_10,DEVELOPS,SKILL,SKILL_21,0.7
REL_0153,EVENT,EVT_13,DEVELOPS,SKILL,SKILL_15,0.7
REL_0154,EVENT,EVT_13,DEVELOPS,SKILL,SKILL_01,0.7
REL_0155,EVENT,EVT_20,DEVELOPS,SKILL,SKILL_19,0.7
REL_0156,EVENT,EVT_20,DEVELOPS,SKILL,SKILL_35,0.7
REL_0157,EVENT,EVT_20,DEVELOPS,SKILL,SKILL_01,0.7
REL_0158,EVENT,EVT_27,DEVELOPS,SKILL,SKILL_09,0.7
REL_0159,EVENT,EVT_27,DEVELOPS,SKILL,SKILL_10,0.7
REL_0160,EVENT,EVT_27,DEVELOPS,SKILL,SKILL_08,0.7
REL_0161,RESEARCH,RES_01,REQUIRES,SKILL,SKILL_04,0.9
REL_0162,RESEARCH,RES_01,REQUIRES,SKILL,SKILL_03,0.9
REL_0163,RESEARCH,RES_01,HOSTED_AT,FACILITY,FACIL_01,0.9
REL_0164,RESEARCH,RES_01,PREPARES_FOR,COURSE,AI302,0.9
REL_0165,RESEARCH,RES_02,REQUIRES,SKILL,SKILL_13,0.9
REL_0166,RESEARCH,RES_02,REQUIRES,SKILL,SKILL_32,0.9
REL_0167,RESEARCH,RES_02,HOSTED_AT,FACILITY,FACIL_02,0.9
REL_0168,RESEARCH,RES_02,PREPARES_FOR,COURSE,DE101,0.9
REL_0169,RESEARCH,RES_03,REQUIRES,SKILL,SKILL_03,0.9
REL_0170,RESEARCH,RES_03,HOSTED_AT,FACILITY,FACIL_01,0.9
REL_0171,RESEARCH,RES_04,REQUIRES,SKILL,SKILL_31,0.9
REL_0172,RESEARCH,RES_04,HOSTED_AT,FACILITY,FACIL_01,0.9
REL_0173,RESEARCH,RES_05,REQUIRES,SKILL,SKILL_41,0.9
REL_0174,RESEARCH,RES_05,HOSTED_AT,FACILITY,FACIL_04,0.9
REL_0175,RESEARCH,RES_08,REQUIRES,SKILL,SKILL_19,0.9
REL_0176,RESEARCH,RES_08,HOSTED_AT,FACILITY,FACIL_04,0.9
REL_0177,OPPORTUNITY,OPP_01,REQUIRES,SKILL,SKILL_13,1.0
REL_0178,OPPORTUNITY,OPP_01,REQUIRES,SKILL,SKILL_32,1.0
REL_0179,OPPORTUNITY,OPP_01,FOLLOWS_FROM,COURSE,DE101,1.0
REL_0180,OPPORTUNITY,OPP_02,REQUIRES,SKILL,SKILL_03,1.0
REL_0181,OPPORTUNITY,OPP_02,REQUIRES,SKILL,SKILL_32,1.0
REL_0182,OPPORTUNITY,OPP_02,FOLLOWS_FROM,COURSE,AI301,1.0
REL_0183,OPPORTUNITY,OPP_04,REQUIRES,SKILL,SKILL_04,1.0
REL_0184,OPPORTUNITY,OPP_04,FOLLOWS_FROM,COURSE,AI302,1.0
REL_0185,OPPORTUNITY,OPP_06,REQUIRES,SKILL,SKILL_26,1.0
REL_0186,OPPORTUNITY,OPP_06,FOLLOWS_FROM,COURSE,BUS101,1.0
REL_0187,OPPORTUNITY,OPP_07,REQUIRES,SKILL,SKILL_19,1.0
REL_0188,OPPORTUNITY,OPP_07,FOLLOWS_FROM,COURSE,FIN201,1.0
REL_0189,OPPORTUNITY,OPP_10,REQUIRES,SKILL,SKILL_32,1.0
REL_0190,OPPORTUNITY,OPP_10,FOLLOWS_FROM,EVENT,EVT_01,1.0
