skill_id,skill_name,category,description,beginner_description,intermediate_description,advanced_description
SKILL_22,Project Management,Management,Organizing teams and timelines,"Task lists, Trello/Jira","Agile/Scrum, Milestone planning","Budget allocation, Risk mitigation"
SKILL_23,Leadership,Management,Guiding and motivating teams,Team participation,"Club executive, Delegation","Organization president, Vision alignment"
SKILL_24,Technical Writing,Communication,Creating documentation and research papers,"Markdown basics, Readme drafting","API documentation, LaTeX papers","Grant proposals, Peer-review publishing"
SKILL_25,Networking,Professional,Building authentic professional relationships,Attending career events,"Informational interviews, LinkedIn","Industry mentorship, Strategic partnerships"
SKILL_26,Entrepreneurship,Business,Building products and launching ventures,"Ideation, Business canvas","Customer discovery, MVP building","Venture pitching, Fundraising"
SKILL_27,Problem Solving,Core,Algorithmic and structured thinking,Breaking down complex problems,Optimization techniques,System architecture design
SKILL_28,Teamwork & Collaboration,Soft Skills,Working effectively in multidisciplinary teams,Group assignment contribution,Cross-functional team lead,"Conflict resolution, Team culture"
SKILL_29,Research Methods,Academic,Academic research methodology and literature review,Finding papers on arXiv/IEEE,"Experiment design, Comparative analysis","Novel hypothesis formulation, Publication"
SKILL_30,Product Management,Business,Translating user needs into product features,"User stories, Feature prioritization","Roadmapping, Metric tracking","Go-to-market strategy, Product analytics"
SKILL_31,Reinforcement Learning,Technical,Agent-based decision making,"Q-Learning, Policy iteration","DQN, PPO, OpenAI Gym/Farama","Multi-agent RL, Sim-to-Real transfer"
SKILL_32,Generative AI,Technical,Prompting and building LLM applications,"Prompt engineering, ChatGPT API","LangChain, LlamaIndex, Vector DBs","Fine-tuning Llama, Custom Agentic Systems"
SKILL_33,MLOps,Engineering,Productionizing machine learning models,"Model saving, Flask serve","MLflow, Feature Stores, Dockerization","CI/CD pipelines for ML, Drift monitoring"
SKILL_34,Linear Algebra,Math,"Vector spaces, matrices, and transformations","Matrix multiplication, Systems of equations","Eigenvalues, Singular Value Decomposition","Tensor decomposition, Convex optimization"
SKILL_35,Probability & Statistics,Math,Statistical inference and probability distributions,"Mean, variance, Bayes theorem","Hypothesis testing, Regression, Maximum likelihood","Bayesian inference, Stochastic processes"
SKILL_36,Calculus & Optimization,Math,Multivariate calculus and optimization algorithms,"Derivatives, Gradients","Partial derivatives, Gradient Descent","Lagrange multipliers, Hessian matrices"
SKILL_37,Algorithm Design,Technical,Data structures and algorithm analysis,"Arrays, Linked Lists, Big-O","Trees, Graphs, Dynamic Programming","NP-completeness, Advanced Graph algorithms"
SKILL_38,Web Frontend (HTML/CSS/JS),Technical,Web fundamentals,"HTML tags, CSS styling","DOM manipulation, Flexbox, Grid","Modern Web APIs, Canvas, WebGL"
SKILL_39,Backend Architecture,Technical,Scalable backend service design,Single server APIs,"Database indexing, Caching (Redis)","Microservices, Load Balancing, Event Queues"
SKILL_40,DevOps & CI/CD,Infrastructure,"Automated building, testing, and deployment",Basic shell scripting,"GitHub Actions workflows, Automated testing","Kubernetes, Infrastructure as Code"
SKILL_41,Ethics in AI,Humanities,Responsible AI and bias mitigation,Understanding bias in datasets,"Fairness metrics, Explainability (SHAP/LIME)","AI Policy, Governance frameworks"
SKILL_42,Signal Processing,Engineering,Processing discrete and continuous signals,"Fourier transform, Filtering","FFT, Spectral Analysis, Audio processing","Wavelets, Image filtering algorithms"
SKILL_43,Cloud Data Pipelines,Data Engineering,ETL/ELT pipeline creation,"Cron jobs, CSV ingestion","Airflow, Databricks Jobs, Delta Live Tables",Real-time streaming pipelines (Kafka)
SKILL_44,Human-Computer Interaction,Design,Designing interfaces based on human cognition,Heuristic evaluation,"User personas, Card sorting","Usability labs, Accessibility compliance (WCAG)"
SKILL_45,Competitive Programming,Technical,Speed problem solving under constraints,Basic LeetCode easy,"LeetCode hard, Codeforces Division 2",ACM-ICPC finalist problem solving
SKILL_46,Grant Writing,Academic,Securing funding for research projects,Outline drafting,"Proposal budgeting, Narrative structuring",NSF/NIH proposal principal authorship
SKILL_47,Venture Pitching,Business,Presenting business ideas to investors,Pitch deck creation,"Elevator pitch, Q&A defense","Term sheet negotiation, Angel investor relations"
SKILL_48,Data Visualization,Design,Communicating complex data visually,"Bar charts, Line graphs","Recharts, D3.js, Tableau","Interactive dashboard design, Visual analytics"
SKILL_49,Edge Computing,Hardware,Running ML models on low-power devices,"Raspberry Pi, Coral TPU","TensorFlow Lite, Model Pruning","Quantization, ONNX Runtime Edge"
SKILL_50,Quantum Computing Basics,Advanced Physics,Fundamentals of quantum information,"Qubits, Quantum gates","Qiskit, Quantum superposition algorithms","Shor's algorithm simulation, VQE"
