opportunity_id,title,type,organization,description,skills,eligibility,prerequisites,hours_per_week,duration,deadline,location,career_domains
OPP_12,NVIDIA Deep Learning Institute Fellowship,Fellowship,NVIDIA Developer Program,"Access to GPU clusters, hands-on CUDA training, and mentorship from NVIDIA AI scientists.",Deep Learning|Python|Algorithm Design,AI background,AI301,10,6 months,2026-11-10,Remote,AI Engineering|High-Performance Computing
OPP_13,Amazon Web Services (AWS) Cloud Architecture Internship,Internship,Amazon.com,"Architect resilient cloud infrastructures, microservices, and automated CI/CD pipelines.",Cloud Computing (AWS/Azure)|Docker & Containers|DevOps & CI/CD,CS/DE student,CS320,40,12 weeks,2026-11-25,"Seattle, WA",Cloud Engineering|DevOps
OPP_14,DeepMind AI Safety Research Grant,Grant,Google DeepMind,"Funding for student-led research on LLM alignment, RLHF, and red-teaming.",Ethics in AI|Generative AI|Research Methods,Proposal submission,ETH301|AI303,8,1 Academic Year,2026-12-20,On-Campus / Remote,AI Research|AI Safety
OPP_15,Palantir Forward Deployed Software Engineer Internship,Internship,Palantir Technologies,Deploy big data analytics platforms to solve complex operational challenges for enterprise clients.,SQL & Relational DBs|Python|Data Analysis|Public Speaking,CS or Data Science major,CS205|DE101,40,12 weeks,2026-11-12,"Denver, CO",Data Engineering|Solutions Engineering
OPP_16,Scale AI Data Annotation & ML Engineering Internship,Internship,Scale AI,"Build data pipelines, quality evaluation benchmarks, and active learning loops for LLMs.",Machine Learning|Python|Data Analysis,CS student,AI201,40,12 weeks,2026-12-10,"San Francisco, CA",AI Engineering|Data Engineering
OPP_17,Y Combinator Founder Fellowship (Summer Cohort),Startup Program,Y Combinator,$500k investment for accepted student startup teams to build and launch their venture.,Entrepreneurship|Venture Pitching|Product Management|Leadership,Working MVP,BUS101|BUS202,50,3 months,2027-03-01,"San Francisco, CA",Entrepreneurship|Venture Capital
OPP_18,Jane Street Quantitative Research Internship,Internship,Jane Street Capital,"Apply mathematical modeling, machine learning, and probability theory to competitive financial markets.",Quantitative Finance|Probability & Statistics|Linear Algebra|Problem Solving,Top math/CS student,MATH201|FIN201,40,10 weeks,2026-10-30,"New York, NY",Quantitative Research|Finance
OPP_19,CERN Summer Student Programme,International Program,CERN Switzerland,Spend the summer in Geneva working on large-scale distributed computing for particle physics.,Spark & Distributed Data|Python|Docker & Containers,Enrolled Physics/CS student,DS301|CS102,40,9 weeks,2027-01-31,"Geneva, Switzerland",High Energy Physics|Distributed Systems
OPP_20,Stripe Full-Stack Web Engineering Internship,Internship,Stripe,"Build global financial infrastructure, payment APIs, and developer dashboards.",Next.js & React|TypeScript|FastAPI|Backend Architecture,CS student,CS310,40,12 weeks,2026-11-18,"San Francisco, CA",Software Engineering
OPP_21,Undergraduate Teaching Assistantship (CS101 / AI101),Campus Job,Department of Computer Science,"Hold office hours, grade coding assignments, and mentor junior students in Python & AI.",Python|Public Speaking|Leadership|Problem Solving,Grade A in target course,CS101|AI101,8,1 Semester,2026-08-25,CS Department,Academic Teaching|Mentorship
OPP_22,Bioinformatics Research Fellowship at Broad Institute,Fellowship,Broad Institute of MIT and Harvard,Apply machine learning to single-cell RNA sequencing datasets.,Bioinformatics|Python|Machine Learning,Bio/CS interdisciplinary background,BIO210|AI201,35,10 weeks,2027-01-10,"Cambridge, MA",Bioinformatics|Genomics
OPP_23,Cybersecurity Red Team Internship at CrowdStrike,Internship,CrowdStrike,"Conduct threat hunting, malware reverse engineering, and cloud security audits.",Cybersecurity Basics|Python|Problem Solving,Cybersecurity background,CS400|CYB201,40,12 weeks,2026-12-01,"Austin, TX / Remote",Cybersecurity
OPP_24,Figma UI/UX Product Design Internship,Internship,Figma,"Design new canvas tools, interactive component features, and design system templates.",UI/UX Design|Human-Computer Interaction|Data Visualization,Portfolio submission,DES101|DES201,40,12 weeks,2026-11-28,"San Francisco, CA",Product Design|UI/UX
OPP_25,"CleanTech Venture Accelerator Grant ($10,000)",Grant,CleanEnergy Foundation,Funding for campus clean energy IoT hardware startups.,Entrepreneurship|Robotics & Embedded Systems|Data Analysis,CleanTech focus,CLUB_20,10,6 months,2026-11-15,Campus Innovation Center,CleanTech|Sustainability
OPP_26,Robotics Autonomy Fellowship at Boston Dynamics,Fellowship,Boston Dynamics,Develop perception and balance control algorithms for legged robots.,Robotics & Embedded Systems|Computer Vision|Edge Computing,Robotics student,ROB201|ROB301,40,12 weeks,2026-12-08,"Waltham, MA",Robotics
OPP_27,ACM Student Research Competition (SRC) Finalist,Competition,Association for Computing Machinery,Present undergraduate research poster at international ACM conference with published proceedings.,Research Methods|Public Speaking|Technical Writing,Accepted research poster,ENG101|RES_01,5,1 Conference,2026-10-01,Varies / International,Academic Research
OPP_28,Databricks Delta Lake Open Source Contributor Grant,Grant,Databricks Community,Paid grant to contribute core features or integrations to Delta Lake open-source repo.,Databricks Unity Catalog|Spark & Distributed Data|Git & GitHub,Demonstrated git skills,DE101|CLUB_12,10,3 months,2026-11-05,Remote,Open Source|Data Engineering
OPP_29,Ethics in AI Policy Student Fellowship,Fellowship,Stanford HAI / Campus Ethics Center,Publish policy briefs on AI transparency regulations for congressional staffers.,Ethics in AI|Technical Writing|Public Speaking,Humanities/CS background,ETH301,10,1 Academic Year,2026-11-30,"Washington, DC / Remote",AI Policy|Ethics
OPP_30,Product Management Associate Program Internship,Internship,Uber Product Team,Lead cross-functional engineering and design sprints for new rider features.,Product Management|Data Analysis|UI/UX Design|Public Speaking,Enrolled Junior,BUS202,40,12 weeks,2026-11-15,"San Francisco, CA",Product Management
