city_event_id,name,type,description,date,location,skills,organization,distance_from_campus,registration_url
CITY_11,Full-Stack JavaScript & React User Group,Meetup,"Discussions on Next.js 15 Server Actions, Tailwind CSS, and TypeScript performance.",2026-09-22,Dev Space Downtown,Next.js & React|TypeScript|UI/UX Design,JS User Group,2.5,https://jsmeetup.example.com
CITY_12,Robotics & Hardware Engineers Demo Night,Tech Talk,"Show-and-tell event for custom 3D printed bots, autonomous rovers, and IoT gear.",2026-10-07,Makerspace Downtown,Robotics & Embedded Systems|Edge Computing,Hardware Guild,3.2,https://hardwaremeetup.example.com
CITY_13,Fintech & Algorithmic Trading Symposium,Conference,"Panel sessions on AI quantitative models, high-frequency execution, and crypto regulation.",2026-11-09,Bank Tower Auditorium,Quantitative Finance|Probability & Statistics,Fintech Forum,2.1,https://fintechsymposium.example.com
CITY_14,Open Source Software Hack-and-Tell,Meetup,5-minute lightning demos of open source tools created by local developers.,2026-10-19,Local Brewery Taproom,Git & GitHub|Python|TypeScript,Open Source City,3.0,https://hackandtell.example.com
CITY_15,Quantum Computing Industry Summit,Conference,"Exploring commercial quantum hardware readiness with IBM, Google, and Microsoft speakers.",2026-11-18,Tech Park Auditorium,Quantum Computing Basics|Linear Algebra,Quantum Council,5.0,https://quantumsummit.example.com
CITY_16,Generative AI Hackathon: Building with Agents,Hackathon,24-hour citywide hackathon creating autonomous AI agents for real business tasks.,2026-10-24,Scale Up Incubator,Generative AI|Natural Language Processing|Python|FastAPI,AI Hackers Guild,2.2,https://genaihackathon.example.com
CITY_17,Game Developers Expo & Indie Showcase,Exhibition,Playtest indie video games built by regional studio developers.,2026-11-14,Indie Arcade Center,UI/UX Design|Algorithm Design,Game Dev Alliance,4.5,https://gamedevcity.example.com
CITY_18,BioTech & Digital Health Investor Forum,Conference,Connecting computational biology startups with healthcare venture funds.,2026-11-06,Medical Research Center,Bioinformatics|Venture Pitching,BioHealth Capital,3.8,https://biohealthforum.example.com
CITY_19,DevOps & Cloud Native Meetup,Meetup,"Sessions on Kubernetes multi-cloud management, Terraform, and Prometheus monitoring.",2026-10-01,Cloud Office 4th Floor,Docker & Containers|DevOps & CI/CD|Cloud Computing (AWS/Azure),DevOps Community,2.7,https://devopsmeetup.example.com
CITY_20,AI Ethics & Public Policy Roundtable,Seminar,Discussion with city council members on algorithmic transparency in municipal hiring.,2026-10-29,City Library Main Branch,Ethics in AI|Public Speaking,Ethics Forum,1.2,https://aiethicsroundtable.example.com
CITY_21,Product Management Breakfast Club,Networking Event,"Casual morning coffee for PMs discussing roadmaps, OKRs, and metric dashboards.",2026-09-25,Coffee Roasters Main St,Product Management|Networking,Product Club,1.9,https://pmbreakfast.example.com
CITY_22,High-Performance Computing & GPU Architecture Workshop,Workshop,Optimizing CUDA C++ code for enterprise NVIDIA GPU clusters.,2026-11-02,Supercomputing Center,Algorithm Design|Problem Solving,HPC User Group,3.0,https://hpcworkshop.example.com
CITY_23,Startup Legal & Cap Table Workshop,Workshop,"Law firm partners explaining IP assignment, SAFEs, and cap table management.",2026-10-15,Incubator Hub Room 101,Entrepreneurship|Leadership,Startup Legal Guild,2.0,https://startuplegal.example.com
CITY_24,Spatial Data Science & GIS Mapping Night,Tech Talk,Visualizing urban mobility and satellite imagery using Python spatial libraries.,2026-10-08,Urban Planning Office,Data Analysis|Python|Data Visualization,GIS User Group,2.3,https://spatialdatascience.example.com
CITY_25,Toastmasters City Speech Contest,Competition,Regional public speaking competition featuring district champion speakers.,2026-11-10,Civic Center Theater,Public Speaking|Leadership,Toastmasters District,3.1,https://toastmastersdistrict.example.com
CITY_26,Open Robotics Hardware Exchange,Meetup,"Swap electronic parts, motor drivers, and microcontrollers with local robotics makers.",2026-10-17,Community Workshop Hub,Robotics & Embedded Systems|Edge Computing,Robotics Exchange,4.0,https://roboticsexchange.example.com
CITY_27,Data Engineering Career Fair,Career Fair,"Meet hiring managers for Data Engineer, Databricks Architect, and ETL Developer roles.",2026-09-30,Downtown Hotel Expo Center,Databricks Unity Catalog|Spark & Distributed Data|SQL & Relational DBs|Networking,Data Career Network,2.0,https://datacareerfair.example.com
CITY_28,Women in AI Hackathon & Pitch Competition,Hackathon,All-female team hackathon building AI solutions for social impact.,2026-11-07,Innovation Hub,Machine Learning|Python|Public Speaking|Teamwork & Collaboration,Women in AI Org,2.0,https://womeninaihack.example.com
CITY_29,Edge Computing & 5G IoT Summit,Conference,Panel discussions on real-time video analytics deployed on 5G edge towers.,2026-11-16,Telecom Plaza,Edge Computing|Computer Vision|Signal Processing,Telecom Innovation,3.5,https://edgeiotsummit.example.com
CITY_30,Angel Pitch Night & Demo Day,Exhibition,10 selected regional startups present 5-minute pitches to venture capital partners.,2026-11-20,Grand Hotel Ballroom,Venture Pitching|Entrepreneurship|Public Speaking,Angel Network,2.5,https://angelpitchnight.example.com
